"","tweet_id","sentiment","author","content"
"2460",1957549557,"worry","ashleigholsen","why am i up...i have to wake up at 7"
"2464",1957550054,"neutral","patreesho","Dizzy  I wanna lie die, but those calories aren't gonna just balk because I ignore them."
"2468",1957551990,"worry","manuelmagic","Hate be late"
"2472",1957552960,"love","anambanana","Summer is really ending. It's raining."
"2476",1957553482,"neutral","jaczie","@inrsoul I can't buy, only rent!"
"2480",1957553875,"surprise","Glock","@wilw wtf pogs are back too?"
"2484",1957554604,"neutral","brookedanielle_","@ELJmcfly Were done so much for them, then brazilians ha! but no meh, i think they love the other countries more then the UK"
"2488",1957556258,"worry","minauderie","@Rina_spn what's going on?"
"2492",1957557283,"neutral","Roxtar73","@SophiaF3F3 word i'm always up"
"2496",1957558319,"sadness","michram","its my burfday and i'm all alone"
"2500",1957558770,"neutral","icapineda","hates karma down. bakit kse nilagnat aq khpon?  http://plurk.com/p/wy4ju"
"2504",1957559824,"sadness","Yoshimikiosha","@Alma773  want somebody to hold me Alma! tear tear"
"2508",1957560891,"empty","PhDenny","Curse you breakfast gods....full bowl of cereal + not enough milk ="
"2512",1957561314,"sadness","MrCartersNurse","@MrDeNiro i wish someone would inspire me with some sexy time right now ugh but thats not gonna happen...  ugh"
"2516",1957562184,"sadness","spixxy666","Now i feel really really bad...sorry"
"2520",1957562940,"neutral","Avril4everr","I'm not here this weekend...  See you monday twitters"
"2524",1957563297,"love","neilthomas45","Oh Cr*p.... Here goes my head again, &quot;I'm Spinning Around&quot;"
"2528",1957563695,"sadness","lewisandrewsiii","Enjoying the nice couple dad with my brother to bad we never really see each other anymore..."
"2532",1957564908,"sadness","soradio","My phone passed away yesterday.. He jumped off the table  Searching for a new phone..."
"2536",1957565783,"neutral","leeveritymusic","Tummy bugs are lame! Got about an hours sleep if that."
"2540",1957566280,"sadness","HiImMimi","@iAmNauj can't.  wish I was sleeping. Gotta be at work in less than 4 hours... Wait, what're u doing up???!"
"2544",1957567167,"worry","danniSTACK","Soooo full that im starting to feel sick"
"2548",1957568605,"sadness","menendezm08","Have you ever realized you never fully have everything you want?  feelin' down."
"2552",1957570595,"neutral","apemura","@From__Hell beeeeaaaaatooooo!!!!!"
"2556",1957571358,"neutral","elliotcoach","nt online today &amp; mayb whole of next week  if u havent voted pls do: http://bit.ly/hHigd"
"2560",1957571904,"worry","KrystelWilde8A","i miss you soo much"
"2564",1957573205,"neutral","ahmetrauf","Can't concentrate  need a booster to woork"
"2568",1957574071,"neutral","Yoshimikiosha","@Lickasha sorry 19/female/atl very lonely"
"2572",1957574803,"neutral","kristinejanke","tried to 'bing' today.. not operational in australia yet"
"2576",1957575701,"neutral","heyyitskate","RAIN!!!!!!!!!!!! AAAAAAAAAAHHHHHHHH! i'm gonna melt. damn it's cold. freakin cold.  brrrrrr"
"2580",1957577994,"neutral","Benskis","Beer in the fridge"
"2584",1957578438,"sadness","k0nan97","at last i wr0te again....got bored the previous dayss...."
"2588",1957580027,"neutral","Alysiaisgay","Ah this is getting to me"
"2592",1957581930,"worry","legendaryTVAC","actually, i think i'm being mean to her....i feel sorry now"
"2596",1957583174,"hate","miss_r","Shit shit, i didn't mean to dall asleep again, it's 9am, I wanted to be out by 9.30. Don't know why I'm so tired,I wasn't late last night"
"2600",1957583578,"worry","liedra","@demios101 oh, sorry to hear about this too  sad"
"2604",1957583820,"surprise","shriggles","can't believe he has to wait till October to see &quot;Up!&quot; when Americans get to see it this weekend."
"2608",1957584587,"sadness","Rachelfurner","Just wrote lyrics to my new song exciting!I slept on a full stomach again it's the worst feeling waking up and still feeling full  euggh"
"2612",1957585756,"sadness","glitzyangel","got paid nowhere near as much as she thought she would"
"2616",1957586403,"worry","aaronakateejay","DANG! I just ran over a bunny on the way home.  Why do I feel so bad? And Why do I have more compassion for animals than I do humans?"
"2620",1957587490,"anger","ArunBasilLal","@rmilana Hey, Wahts happening in #coffeclub..? I didnt have coffee for two days now  @dharshana"
"2624",1957588348,"boredom","ciaranhenderson","@solobasssteve I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details"
"2628",1957589272,"sadness","MsDianeG","How I wish I get at least 2 days-off in a row. 1 day off is not enough to rest.  3 days on, 1 day off, 4 days on, 1 day off...Ugh!!!"
"2632",1957590087,"worry","Mercs","mayb he was raped when he was younger"
"2636",1957591160,"worry","sparkling_jewel","says God please i hope it doesn't brownout...i'm burning my files  http://plurk.com/p/wy5za"
"2640",1957591836,"relief","eyerizzz","I feel like flying off somewhere. It's been a month since my last trip..."
"2644",1957592237,"empty","curmudgeonlaine","@femiknitzi Three-quarters through I believe. Will not finish tonight.  I blame errands and a certain loud at a bookstore."
"2648",1957593508,"neutral","maattatoio","http://is.gd/IQ03 Microsoft has released Zune also in Europe, no HD for us"
"2652",1957594329,"worry","PaccmanSEQ","@Jinsing what Brody how dare u"
"2656",1957595567,"happiness","movewithme","@mangointhesky idk. The original is so great."
"2660",1957595865,"sadness","sweetsofgeorgia","Is so freaking bored on the bus. Hate being poor, ï¿½4.80 return for a 10 min train or ï¿½2 return for an HOUR long bus.ipod has no battery 2"
"2664",1957596976,"worry","astynes","@karinb_za its not fruit, its those sugar covered sweets. My tummy is not happy"
"2668",1957598283,"worry","KingLaffo","I hope I get the job so I can have some steady income and start eating well again. All the cheap food is horrible for you"
"2672",1957599748,"worry","tashan","Ready, Set.... hmmm DELAY"
"2676",1957601007,"neutral","iliana","picat 21"
"2680",1957601857,"neutral","Anthony_VD","Is de examens al beu"
"2684",1957602412,"neutral","MashAnnable","@Phoebo yeah....but I finish go home get changed etc etc then im off again"
"2688",1957604270,"love","scarletshimmer","@Dichenlachman oh I love oreos!! U can't get many varieties in the uk"
"2692",1957605334,"love","ashtonwait","@jassily but ... but it's michael bay ...*sigh* i'm sorry, love - didn't know you felt that way about it   XD"
"2696",1957605896,"worry","alyghasani","I took my yearbook photo earlier at school, and I don't think that it will turn out great"
"2700",1957607501,"neutral","beefbeff","@iminditch yesh and that potato guy is online... but hes not live"
"2704",1957608321,"hate","lilmissash","it should be.. not a wink &gt;.&lt;"
"2708",1957610175,"sadness","seetee","@sophiatam haha yea! Just working and chillin in the eastbay. Unlike u, I don't get a summer break  boo"
"2712",1957611093,"neutral","nikazwaa","In Kelantan! Good to be (sort of) home! :pI'm guilt stricken after having that turtle egg.  Really. Won't do it again. Really."
"2716",1957612030,"neutral","ilovegayboys","@theguiltshow ikr!!!"
"2720",1957612543,"worry","DeidreSmith","@david_tennant yes! Watching season 2 all evening.  Wish I could get BBC2"
"2724",1957613033,"worry","joneorange","Start of diet today  I think I have to face I will never get back down to 77kilos (unless I cut a leg off)ï¿½"
"2728",1957613766,"sadness","Liloh_","@dave_mueller yes i love it  its just a little bit complicated, because i want it on my BB , but it doesnt work"
"2732",1957615489,"neutral","CeeCeeJayez","@riineySTACKEDx lol cnt its too slow"
"2736",1957616075,"surprise","airwillson","huh? its 1 am already? shucks"
"2740",1957616743,"worry","damselseo","Oh my!...It's raining...I don't bring with me my umbrella..   baha na naman ngayun...for sure.."
"2744",1957617107,"neutral","diamondsharelle","@thawrite1 oh you and @mdotperiod had free drinks?! thats wasup..Im givin up drinkin for a lil bit"
"2748",1957617432,"sadness","rosskie","@Nelja exactly like that ...in glasgow now ...it's a bgt busier"
"2752",1957618067,"sadness","vimahimanulua","I'm SAD SAD SAD!!! thought my aunty Stina coming but no more  i was so looking forward to having family..i miss dat! i'm alone on maui"
"2756",1957619749,"worry","azmirhamzah","new flat heads"
"2760",1957620383,"worry","tiffyhavok","omgeee that hurt like helll. finally got it back in. can't close it put the ball back in"
"2764",1957621246,"relief","BiancaCris","At least my wish came true, its not hot anymore...just rainy"
"2768",1957622502,"fun","ketchupinacan","This is great curl-up-in-a-ball-and-read later. I wish I had a book."
"2772",1957623928,"worry","jenjenmyfriend","Trying to get some sleep but cant  i gotta wake up early for my doctors appointment too ugh!!"
"2776",1957624493,"neutral","LindseyGross","so. I'm taking my life guarding classes fri (7-9pm) sat (9-6pm) sun (9-4pm) and mon (3-630pm) live eat and breath life guard stuff. yay."
"2780",1957625143,"worry","xvanna","getting stuck from visiting sites by rain"
"2784",1957626598,"sadness","BRAINknowsBETTR","Dad: &quot;No trips to Lahore for you.&quot; Me: &quot;I do live in DC &amp; NYC which also = big targets.&quot; Bummer, no Pizza Hut chicken tikka pizza for me"
"2788",1957627966,"neutral","salmonmoose","@Tarale dinner appointment tonight"
"2792",1957629202,"neutral","MissCapule","Finally reunited with my Hunny bunny@tarzan_0802 I have him for a few days b4 he leaves me again for another week away @ work  night!"
"2796",1957630067,"sadness","nerdish","Weather is back to being great! Shame I have to wait in for my delivery"
"2800",1957630940,"worry","hilarion","@capricious_and IKR. I myself am headed out for a meeting."
"2804",1957631424,"worry","MarkBrindle","Been rebuilding my Dev. machine after a disk crash last night"
"2808",1957632398,"sadness","PuppyZach","@SeandBlogonaut daddy wanted to buy me shoes, but they were prettie esspensive, so nao I haff to go bearfoot"
"2812",1957633015,"happiness","cookie_crumbles","Lobbying in twitter! Here too!!  Yuk! Gettin rid of groupies ;)"
"2816",1957633293,"worry","thongar","Burnt 3 of my fingers from trying to keep my hands warm over the rice cooker."
"2820",1957634473,"neutral","majorshake","@caitlandkawaii im a pleb  i had to take it out of the freezer.. and put it in the oven!"
"2824",1957635726,"fun","casscc","@heyennovy haha we had balcony seats  not that great. there's a giant dragon thing that has glowing red eyes and moves its wings!"
"2828",1957636568,"sadness","andreaakamana","boys and girls lie? awww is santa not real either?"
"2832",1957636776,"worry","pete","@3Easy Last week of July  Will you be up and at em by then?"
"2836",1957636887,"worry","bogart17","gawd the rain is too strong"
"2840",1957637482,"neutral","kasemc","I have to choose between @pink and @Essendon_FC on Sunday and @pink wins. I'm shattered.  Why can't I be healthy enough to go to both?"
"2844",1957638499,"worry","twinklies","morning, still trying to find a babysitter, there is a creche at the gym so might leave him there, but just know he won't be happy"
"2848",1957638771,"love","QueenBxoxo","Oh ffs :@ a don't get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you ï¿½  :@"
"2852",1957639561,"fun","sentricmusic","@theJBs @wearecutaways  We were all set to get a room last Saturday! I can't apologise enough for missing out Deccy"
"2856",1957640118,"worry","serenium","@zoecorkhill do you get headaches a lot? What painkillers do you take? Nothing works for mine"
"2860",1957640730,"worry","polyboyjt","feels very, very rough!"
"2864",1957640928,"neutral","tinyminds","fine, i give in, docs again today. not being able to breath this morning made me think i should. hate docs"
"2868",1957641364,"sadness","violetbakes","@violetbakes My friend is a massive Beatles fan, and she wasn't impressed"
"2872",1957643351,"sadness","viintagedresses","@Emiily_Kate i know its heaps awesome. if your not working all weekend"
"2876",1957645545,"sadness","iandvedwards","@mistermagnus A friend uses Logic and I must admit I did like it...but I don't have a Mac"
"2880",1957646478,"love","Ingenue_Em","@mizplunderbunny *hugs* why?"
"2884",1957647154,"worry","becskr","Maybe I'm lacking in Friday feeling cos more of my trousers won't go on  Thunder thighs!"
"2888",1957647768,"happiness","simpsoid","Just got Skyfire (http://get.skyfire.com/).  Firts impressions, it looks good but it's a little too memory hungry for my ageing HTC TyTN"
"2892",1957648527,"worry","ginny_with_a_g","I'm awake and can't sleep bc I'm feeling sick  yuck!!!"
"2896",1957649194,"empty","Isabellbear","I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd"
"2900",1957650383,"sadness","twebbstack","@BlueEyed_Cat @himynameisrose we all know and yes dont remind me im so effin jealous  fuck aust some times"
"2904",1957651728,"sadness","mummyjane","Is now crying  Omg I am fed up with this pain !!!"
"2908",1957652992,"sadness","theephil","I'm up way to early today!  Work later."
"2912",1957653803,"neutral","diedajew","@raerobinson it was just the handle tg"
"2916",1957654191,"worry","Shadehouse","@amandapalmer was there going to be a recording of with the needle that stings in her heart on youtube or something? i missed the stream"
"2920",1957655552,"fun","sarahjanelopez","All alone in this old house again.  Thanks for the net which keeps me alive and kicking! Whoever invented the net, i wanna kiss your hair!"
"2924",1957656361,"neutral","csorensen32","I should learn not to walk all day, and then sprint through sprinklers without stretching."
"2928",1957657158,"neutral","OnikaCole","i dont have my iphone until maybe next week!"
"2932",1957657765,"hate","issie07","@x_Beckiie_x omg are you going to see it?! another reason to not live in devon none of the f***in cinemas have the film im so annoyed"
"2936",1957658212,"hate","KevMain","Think it may be time for a  lemsip soon, having a cold really sucks"
"2940",1957659279,"worry","shewitt","@LycoLoco i'm not proud. but os x excels at video/photo editing where the pc lags so much behind."
"2944",1957660486,"love","tamyof_thetams","SAD day! love you Maï¿½ (8 years ago!) miss you so much!!!!"
"2948",1957662098,"empty","Beth_Ann_","@steve_caruso So I took the polish off of the nail of the finger the door handle murdered earlier, and well... it's not pretty...."
"2952",1957663147,"worry","zoyaz","driving around for 3 hours going nowhere is not as fun as it seems, i missed my singing lesson"
"2956",1957663637,"hate","mkeats","@alexlomas Bastard! I want to be at the beach in the sun"
"2960",1957663999,"worry","Anniee451","@CNReilly I missed Match Game tonight    I hope I make it tomorrow night."
"2964",1957664578,"hate","crashedinlife","I bruised my toe worse than my I did my finger. It fuckin hurts right now even with ice on it"
"2968",1957665608,"worry","Shinybiscuit","@jackfaulkner I forgot all of those people"
"2972",1957667820,"worry","neerav","cant take photos of Darling Harbour fireworks cause its raining  carried all my camera gear to work for nothing #fb"
"2976",1957668465,"worry","svijayak","Seems like 60 min wait time  should I call the wife now"
"2980",1957669387,"neutral","becca_caddy","It's natsmith88 last Friday today"
"2984",1957671446,"neutral","miawoods2005","I don't think the Master Cleanse was intended for travelers  feeling gross...."
"2988",1957672274,"neutral","IanWoolf","I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place"
"2992",1957672698,"surprise","bholfeltz","@k_tron oh god, whose tire?"
"2996",1957673495,"relief","kellybazza","is gutted to be at work when it is sooo nice outside"
"3000",1957674075,"neutral","sampan22","bah! bk on reception  comps aint working.....BUT the sun has got his hat on hip-hip-horay  x"
"3004",1957674693,"hate","barbsrad","urgh, my head is banging."
"3008",1957675277,"worry","Ducer15","@Cleric20 Nope. Im hearing bad things."
"3012",1957675601,"neutral","Conny__x3","Flypside - When it was good..i must creat my presentation in english  by guys ?"
"3016",1957677153,"surprise","Bashair_E","getting dressed to go to Granny's,another day of now twitting"
"3020",1957677591,"sadness","MartukaPop","I wanna go to the beach...but I have to study"
"3024",1957678173,"empty","lady_firey","My cucumber has gone limp"
"3028",1957679152,"fun","Misdreavus_72","@Banette_ good to be back! It's really late though and I just got back from scaring some people and I'm pleased but really tired"
"3032",1957680381,"worry","Rohan_01","@cutiemoet i noe... bt i jus cant help it....."
"3036",1957681266,"neutral","akihabara_edo","wonders when all of these end... hay...  http://plurk.com/p/wy9wi"
"3040",1957681870,"sadness","Morena485","Had a crazy night, lost keys, walked home, missed my papi's calls from the swizzy.    I'm sad"
"3044",1957684648,"worry","OCchaleee","gotta get up in a few hours...booo  gooodnight!"
"3048",1957686480,"neutral","iggypintado","@julie_posetti Nice reference to #LM program in How Journalists Are Using Twitter in Australia but no mention of me   http://bit.ly/JwuZL"
"3052",1957686896,"sadness","schjerning","my blog is crashing my browser"
"3056",1957687772,"love","TheDiva_KMarie","aww @iCONtips you are too kind!! Hi sweetie! Are you guys out partying without me   I'm the only person who came to work 2nite lol"
"3060",1957690674,"worry","shiplikeyou","@dc493 sassafrass reminds me of rachel  i miss her"
"3064",1957691093,"neutral","jun6lee","@dreaming_aloud @DanBarnes501 and that hindi flick '99' that came out a couple of weeks ago that never made it to the UK"
"3068",1957691421,"worry","Richard_Gable","@NikkiNoo1956 That's not good, sorry to hear that, where did he park it?"
"3072",1957692927,"happiness","SqueekyPenguin","sadly awake. wondering about contact info for all of the fun folks I hung out with at the shop. YAY 23b!!! Miss you guys"
"3076",1957694436,"sadness","ElysElectric","I guess its bedtime. Goodnight twitter.  my bed is so big and empty without him."
"3080",1957695799,"worry","hantu","OK crowdsourcing failed,"
"3084",1957696481,"hate","Pixie_Anna","@maddieprior mother is hogging the TV"
"3088",1957697561,"neutral","vacant_heart","@Dr_DinaSadik forensic mein kya hai! bas rat te jaao  and micro?havin a micro exam soon,the lab diagnosis of all d individual bacteria!"
"3092",1957698231,"worry","xoxmillyxox","@torilovesbradie definitely, or even just &quot;i'll call you&quot;, they never do  how was ur day? xx"
"3096",1957699183,"surprise","xWindyMillerx","Rather jealous of my football club who have all gone to Portugal on tour today. They're even playing a Sporting Lisbon veterans side."
"3100",1957701073,"worry","egnaronik","@yin9shi what interview! leave me alone"
"3104",1957701449,"neutral","Breeargh","i want a text from short stack ,but i dont understand the texting thing"
"3108",1957702096,"sadness","RussellBfan90","@pinkbunny69 awww thts no good hun-i'm having the worst day as i'm sick as"
"3112",1957703106,"worry","Ricardo3G","@BunnyLuv87 Sorry I didn't go  Jesus wasn't feeling it. And you know I can't see it with out my best bud. Well that movie anyways @Eexst"
"3116",1957704889,"love","lisabatty","lovely day again... hope it continues all weekend, I'm stuck at my desk today"
"3120",1957705597,"worry","scenexbbyx13","fuck, can't sleep.  feening for cigs. i'm horrible. :X"
"3124",1957706506,"worry","feedyourmusic","@LoveisTrain it drained my energy"
"3128",1957708099,"hate","Badger5000","@razzbingo britain is shit"
"3132",1957709186,"worry","icyblue93","The test today was killer. I didn't even manage to finish on time."
"3136",1957710304,"love","luckygnahhh","@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?"
"3140",1957711409,"sadness","RexTR","@ankurb english screwed up my overall percentage in X, in XII again and probably in adm tests too. shit happens."
"3144",1957712124,"surprise","RalphBassfeld","Had to cancel subscriptions today to NZZ and Economist at office  #costsavings Luckily they also have online versions"
"3148",1957712673,"sadness","Ed_Costa","I'm slowly reallizing how this burn I got at work 5 hours ago really sucks"
"3152",1957713326,"surprise","lovemandy","http://twitpic.com/667g1 - Marshmellows + muffins = fail  They all bubbled and then evaporated leaving big holes! heh still taste alri ..."
"3156",1957714261,"worry","the8bitch","it's almost comforting to know all LDN people not working on this beautiful day will get skin cancer.... I want out of this office now"
"3160",1957714787,"worry","mor10am","is having a hard time concentrating today.  Have to get it together!"
"3164",1957715674,"worry","in_the_air","@JulieAdore I checked ULCA, they've got a program in producing, I'll be so much interested in. But...."
"3168",1957717916,"sadness","goaskalicia","@sassisam agh mine just left for New York last month!!"
"3172",1957719408,"surprise","melpig","ucler!!! I got 2 big ones in my mouth"
"3176",1957720998,"worry","anotherJohn","Shit... It's 2am and I'm wide awake"
"3180",1957722065,"worry","just_00110111","I definitely feel sorry for Jamie Stewart... Amsterdam audience can really suck (www.xiuxiu.org and read his post of May 27th  )"
"3184",1957722577,"love","iadiedee","@Nasnous Thanks bro but I'm awake already  How are you?"
"3188",1957724418,"anger","mm39","i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!"
"3192",1957725236,"love","Leeuwin60","@Kellyke28 You poor thing  Hang in there. -xxx- luf joe"
"3196",1957726156,"worry","Jack_of_Clubs","Raaaaaaaaaaagh early morning  and its not even early!! Must leave for work in 6 minutes..."
"3200",1957726844,"neutral","tristan_mayer","Has lost his vocie and Adele is laughing at me LOL and still wondering why I'm in college on me week off"
"3204",1957727546,"surprise","KKCappie","@ManaMoose I can't believe you went and got boba without me."
"3208",1957727853,"worry","geewhy","@ryankanno ack, no can see @mustheartdogs either.  and weird, these tweets are in my mentions, but not my timeline (oh wait, new Twitter)"
"3212",1957728610,"neutral","quickquacker","my littelist fish, udon, is dearly departed"
"3216",1957729413,"empty","gemmamcnaulty","is leading dull life this Friday... Babysitting!"
"3220",1957729727,"surprise","Medros","@Rilgon ahh seen a few of those drop, but I just tossed them thinking it was a once only turn in"
"3224",1957731256,"empty","jiaaaa","You fooled me!"
"3228",1957732478,"worry","Jessymar","i really need to go and start some more revision,biology or chemistry today me thinks"
"3232",1957733956,"sadness","adam_parker","Last day in Exeter! Had last session in gym, last breakfast.. last meeting coming up"
"3236",1957734941,"enthusiasm","Tonybee12","waiting for PRINCES PROTECTION PROGRAM online in English version  so long"
"3240",1957736261,"sadness","LucySiebens","i have a headache"
"3244",1957737246,"worry","finallee","@andymakesurandy don't worry iPhone users are just as privileged  wish i were heading to the pool"
"3248",1957738636,"enthusiasm","Gregorovich","http://bit.ly/Wl9yL  i want to go here"
"3252",1957739289,"worry","soliniguez","So I played this game , yeahhhhh I lost  I'm inlove ughh....really cause I'm such a fool."
"3256",1957740057,"sadness","CleoManago","It's clear intellectually that severing my relationship was best, yet my heart seems 2 B in complete disagreement. It hurts so so much"
"3260",1957741118,"neutral","margapoo","all my files got deleted"
"3264",1957741825,"worry","3riplelclothing","@Keiyaunna I normally dnt sleep until like 6  cud never sleep at night n ur entertainment"
"3268",1957742572,"sadness","YvetteObeney","#bigfanfriday 2day, &amp; i go &amp; friggin loose 1, life sucks!!"
"3272",1957743172,"neutral","domdingelom","@geekgrrl  I missed one"
"3276",1957743749,"neutral","primaveron","@LimeIce awww... dangness!  i cant wait to see the picture!  lime green elements...wooot!"
"3280",1957744379,"happiness","littleh77","@andyroddick At work at the mo and it's so sunny here today   Off to see a band tonight!!"
"3284",1957744920,"worry","RebeccaJade","@mapsadaisical just tried DMing you but it tried to download some strange file so stopped!  How come no gmail MaccyM?  Missing you  SADS!!"
"3288",1957745434,"worry","Rohan_01","@cutiemoet u think its fair...... k den i guess m wrng.... still i feel its not at all fair...."
"3292",1957745916,"sadness","youroryoure","[Wrong!] #liesboystell Your the only one, I love (they really have several women)  http://tinyurl.com/nl6pct"
"3296",1957746645,"empty","squeegeebean","@chrisontv88 I had a joke for you, but it's too long to tweet."
"3300",1957748175,"worry","HudsonKent","Ugh my neck really hurts  I'm out aquatards, xox"
"3304",1957750148,"neutral","pajp","woke up."
"3308",1957751180,"sadness","megsv6","ready 4 the weekend! yay me. even though once its over, im the lucky person that gets to work 10 days in a row till i get another one off"
"3312",1957752630,"relief","OpheliaPunk","@jradc Awww....gnight.  haha"
"3316",1957753219,"sadness","juanitaaam","itï¿½s raining... I hate rain...  going to shop and drink coffee all day."
"3320",1957753701,"worry","abean2007","Hey Fused Gaming, FusedGaming Forums have been delayed until 9PM PT/12AM ET tonight... sorry   (abean2007 live &gt; http://ustre.am/1ntp)"
"3324",1957754611,"neutral","lorraincium","Things aren't just as easy and simple as they seem to be."
"3328",1957755309,"sadness","xxxxxxx","@girlx they're at the bottom of the thing and aren't moving at all. feels bad man."
"3332",1957756889,"neutral","kelliesimpson","@Nicers I'm pretty sure my bum shape will still be imprinted there"
"3336",1957758099,"worry","Mgnfarrow","Isnt looking forward to going back to work. 3 days off isnt long enough"
"3340",1957759446,"neutral","Peterkin","@Helena210 No one to rub it in"
"3344",1957759622,"neutral","DOcreative","@Mezandy me! @DOcreative"
"3348",1957760077,"worry","paulakahumbu","My paradise fly catchers abandoned their nest....  they are starting again... but it's gonna b tough"
"3352",1957760645,"worry","photosil","@dabobabo I can't believe this! Did they give you any reason?"
"3356",1957761940,"worry","InterSimi","It is really hot now. I have shorts on and plenty of factor 20! No fish caught yet, they may be spawning"
"3360",1957762473,"neutral","kevinavis","On a day like today I would wear shorts and tshirt, but now I'm at DHQ it's office wear..."
"3364",1957762985,"worry","Kwech","@YOitsEILEEN And web-less starting the day after that  #homeless"
"3368",1957764349,"worry","uglysarahsassy","cannot go, cannot refused to feel the pain"
"3372",1958033875,"worry","imjoie","I was hoping ABC will pick up &quot;king of the hill&quot; but they said no"
"3376",1958034853,"neutral","sassyback","@myinkyfingersAU I can't take it"
"3380",1958034928,"worry","kdr76","went to bed last night with the feeling of a migraine coming and woke up feeling worse."
"3384",1958036042,"fun","Mz_Cutie","@DJIronik hmm....well it aint that hot in hull lol   xx"
"3388",1958036392,"worry","MandieMorrison","Bob Dylan - It Aint Me Babe. Important day today, tell you guys more later. Off to work, iIm late"
"3392",1958037565,"fun","ohaijosh","Just found out my kitty isn't pregnant  its a good thing though, we are going to adopt one instead"
"3396",1958039189,"sadness","dyeleepong","Happy Grey's day everyone! Oh I miss Grey's!!"
"3400",1958040760,"worry","8060","i am not happy at all"
"3404",1958041749,"hate","mareklutz","in the mailbox already for 2 hours"
"3408",1958041924,"worry","orangesox","Is in the badbooks again, don't know why I bother"
"3412",1958042421,"sadness","patriciaburgos","im so hungry and i have nothing to eat"
"3416",1958043816,"worry","HelenH20","@EPMorgan I can't even do that  not good!!"
"3420",1958044855,"sadness","jaronmc","@ijoostin Not so good  I think that's my fault though - didn't use buttermilk. Recipe was on back of the flour."
"3424",1958045796,"worry","marcflores","@steamsmyclams @ADalrymple I'm not a big fan of Costa  I ended up going to EAT as they have one outside our office!"
"3428",1958046096,"worry","ontrich","@imnothelz Oh that can't be nice"
"3432",1958046629,"surprise","Spidersamm","so during that whole whole addiction talk with my brother and that lady....i broke down and couldnt help but cry"
"3436",1958047987,"surprise","LaColombella","damjust finished watching Prison Break: the final break...omg i dont think i've cried so hard for a show..Finally understand the finale"
"3440",1958048529,"sadness","LaColombella","dam just finished watching Prison Break: the final break...omg i dont think i've cried so hard for a show..Finally understand the finale"
"3444",1958049146,"neutral","katha181183","Seems like i'm the only person over here doing postal voting for the upcoming election ... been there already twice to get the documents"
"3448",1958049543,"neutral","cynicalmonkey","signed up for broadband today could take 4-6 weeks"
"3452",1958050811,"hate","atikastuart","i know i was wrong. maybe i shouldnt did all of those fuckin things like that"
"3456",1958051039,"sadness","ymaethetrinket","@irrationallogic Yeah daw. Awww...  Wear a mask na!"
"3460",1958051928,"worry","blackhawk24601","&quot;sometime around midnight&quot; by The Airborne Toxic Event, literally cannot escape it. FML"
"3464",1958053035,"empty","pierre_nel","@timwhitlock err you can turn on optimized js+css &amp; caching once we deploy the thing, but I hear what you're saying"
"3468",1958053263,"surprise","linnoow","OMG, it's JULY'S LAST DAY!  @ Muchachomalo"
"3472",1958054216,"hate","baldeggie","Hey now that I'm on a roll everybody in twitter-ville is sleeping  grrr I never WIN :/ http://myloc.me/1Y2J"
"3476",1958055436,"hate","SelyJonas","Sick, sick, sick. This sucks. i can't even breathe properly"
"3480",1958056577,"surprise","mam1cutie","@pntbtrkisses WHAT! That's horrible! To purposely write about it to a bunny is just mean &amp; cruel!    Not to mention just plain tacky...."
"3484",1958057754,"sadness","laurapatricklp","The doggy is sad  cheer up Jessie!"
"3488",1958058383,"sadness","samii5689","im sick and sad its cold"
"3492",1958058829,"worry","name_me_aly","@epic_zorz_peep count yourself lucky i was gonna say the OTHER word instead...and rsvp...sorry i cant come to ur birthday...day?"
"3496",1958060382,"worry","ThatKidChalkie","Ohhh  only a bit of time left to have an account on the forums.. I do hope I get to be a leader some day :/"
"3500",1958061037,"worry","nisemonolabs","Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why can't I have more? Lame."
"3504",1958062208,"neutral","jasperwagenmans","Tired of hearing stories about everybody going to Ibiza..."
"3508",1958063663,"happiness","anjilou","@iPat143  hmm.. idk that song."
"3512",1958064440,"sadness","gregpower","Never has a 2pm finish looked so enjoyable. Pity I'm teetotal for another week"
"3516",1958065414,"anger","Sparkey09","@_supernatural_ more Demon Sam!! I need it to numb the pain  xXx"
"3520",1958066404,"worry","hannahlouu","Its so hot here"
"3524",1958066745,"sadness","charlii1","@torilovesbradie last thursday or yesterday that sucks i missed it  was it at lunch time ox"
"3528",1958067204,"worry","misstlc_vicky","@TVXQUKnow  I feel tired of my work  Cheer for me please~"
"3532",1958067906,"sadness","hellomirv","home alone and no one left me any gummy bears"
"3536",1958068448,"worry","allendoggie","tomorrow will be my last day in work.. how sad.. bye Ange"
"3540",1958069746,"neutral","georgew0304","@BeckyKingston I don't think I've ever tried peanut butter on toast"
